id;primeiro_nome;sobrenome;email;telefone;data_contratacao;salario;comissao
1;dot-com payment Libyan Dinar;white sensor local;Odell17@gmail.com;Applications Response Human;2019-12-15T11:59:01;74771;1545
2;Tactics architectures Planner;Facilitator Incredible functionalities;Rowland48@gmail.com;mesh;2019-12-15T11:23:41;93615;84421
3;Intranet Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;Enid_Robel13@hotmail.com;array France protocol;2019-12-15T10:47:34;81011;25620
4;Personal Loan Account Sleek Beauty;digital deposit;Gracie89@hotmail.com;value-added incubate Practical;2019-12-15T06:59:20;67202;3594
5;Dale;Specialist generating;Alexander3@hotmail.com;frame Brunei Darussalam interface;2019-12-15T00:59:55;76999;27154
6;Orchestrator;Refined Intelligent Granite Shirt;Maximo72@yahoo.com;Strategist;2019-12-15T08:28:35;71459;32295
7;redundant;content;Aric18@hotmail.com;Refined infomediaries Som;2019-12-15T19:28:14;17329;91521
8;ROI;Benin;Christ.Okuneva63@hotmail.com;Buckinghamshire payment e-markets;2019-12-15T03:20:48;41960;4771
9;Louisiana;hack;Eve4@gmail.com;Incredible Fresh Chips;2019-12-15T03:58:47;17533;47417
10;Handmade;online e-business;Horacio.OConnell@yahoo.com;Web HTTP;2019-12-15T14:36:21;37461;1530
